title,IMDBid,year,summary,maturity,type,new to uNoGS,runtime,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22
Doona!,tt24245988,2023,A college student navigates life and school while dealing with a unique predicament — he's living with a beautiful former K-pop idol.,"Coarse Language, Mature Themes",series,2023/10/20,,Drama Programmes,Romantic TV Dramas,Korean TV Programmes Based on Webtoon,Korean,,,,,,,,,,,,,,,,,,
Disco Inferno,tt4905548,2023,A young couple conjures a dark presence that hungers for their unborn baby as they prepare to burn up the dance floor at LA's hottest disco.,"Strong Horror Themes, Self-Harm, Themes, Suicide",movie,2023/10/20,19m5s,Horror Films,,,,,,,,,,,,,,,,,,,,,
Creature,tt0088961,2023,"When tragedy befalls a reckless scientist in Ottoman-era Istanbul, his student uses untested methods to finish his work — with devastating consequences.","Strong Blood and Gore, Self-Harm, Fantasy Themes",series,2023/10/20,,Drama Programmes,Period Pieces,Fantasy TV Programmes,TV Programmes Based on Books,Turkish,,,,,,,,,,,,,,,,,
Dream Girl 2,tt22086334,2023,Karam secretly turns his female alter ego into a dancer and woos a millionaire's son in hopes of paying family debts and impressing his fiancée's father.,Recommended for ages 13 and up,movie,2023/10/20,2h7m6s,Romantic Comedy Movies,Bollywood Movies,Comedy Movies,Romantic Movies,Hindi-Language Movies,Indian,,,,,,,,,,,,,,,,
Captain Laserhawk: A Blood Dragon Remix,tt14837566,2023,"Branded an enemy of the state, a cyborg supersoldier struggles to find a cause worth fighting for in a dystopian society where nothing is what it seems.",Recommended for ages 16 and up,series,2023/10/19,,,,,,,,,,,,,,,,,,,,,,,
Neon,tt4667682,2023,"An aspiring reggaeton star and his best friends move to Miami on a mission, weathering roadblocks and reality checks together in their quest for success.",Strong Sex Scenes,series,2023/10/19,,Music,Comedy Programmes,US TV Programmes,,,,,,,,,,,,,,,,,,,
Crypto Boy,tt24785544,2023,"Following a dispute with his father, a young man falls prey to cryptocurrency's allure and an entrepreneur's audacious promises of financial freedom.",Strong Coarse Language,movie,2023/10/19,1h43m19s,Drama Films,Dutch,,,,,,,,,,,,,,,,,,,,
Bodies,tt0398427,2023,"Four detectives. Four timelines. One body. To save Britain's future, they'll need to solve the murder that altered the course of history first.","Strong Blood and Gore, Violence",series,2023/10/19,,Mystery Programmes,Drama Programmes,Crime Programmes,TV Thrillers,British,,,,,,,,,,,,,,,,,
Kaala Paani,tt19072562,2023,"When a mysterious illness descends upon the Andaman and Nicobar Islands, a desperate fight for survival collides with a race to find a cure.","Coarse Language, Mature Themes, Violence, Self-Harm",series,2023/10/18,,Drama Programmes,Hindi-language TV Programmes,TV Thrillers,Social Issue TV Dramas,Indian,,,,,,,,,,,,,,,,,
Nabil El Gamil Plastic Surgeon,,2023,"After always ending up in the wrong place at the wrong time, a struggling plastic surgeon stumbles into a seemingly perfect solution to his miseries.",Recommended for ages 13 and up,movie,2023/10/18,1h40m26s,Middle Eastern Movies,Comedy Movies,Egyptian,,,,,,,,,,,,,,,,,,,
The Devil on Trial,tt28810493,2023,"Using reenactments and home videos, this dark documentary investigates the apparent possession of a young boy — and the brutal murder that followed.","Coarse Language, Horror Themes",movie,2023/10/17,1h21m39s,Crime Films,Horror Films,True Crime Documentaries,Courtroom Films,Documentaries,British,,,,,,,,,,,,,,,,
I Woke Up A Vampire,tt27591984,2023,"On her 13th birthday, Carmie discovers that she's actually half human, half vampire — and that mythical powers make middle school way more complicated.","Mild Violence, Themes, Fantasy Themes",series,2023/10/17,,Comedy Programmes,Teen Programmes,US TV Programmes,Fantasy TV Programmes,,,,,,,,,,,,,,,,,,
Heather McMahan: Son I Never Had,,2023,Hitting her emergency weight. TikTok therapy. Joking through her dad's eulogy. Comedian Heather McMahan shares all in this relatable stand-up special.,Strong Coarse Language,movie,2023/10/17,1h6m,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,,
Camp Courage,,2023,"In this documentary, a girl displaced by the war in Ukraine heads to a summer camp in the Alps with her grandmother, testing the limits of her bravery.",Mature Themes,movie,2023/10/15,33m33s,Documentaries,,,,,,,,,,,,,,,,,,,,,
Black Beauty Effect,tt21078942,2023,This docuseries explores how influential Black professionals in the beauty industry challenged and redefined standards around their representation.,Suitable for ages 12 and up,series,2023/10/15,,US TV Programmes,Docuseries,Social & Cultural Docs,,,,,,,,,,,,,,,,,,,
The Conference,tt14321668,2023,A ragtag group of public sector employees battle not only their own discord but also a bloodthirsty killer during a seemingly innocuous retreat.,Recommended for ages 18 and up,movie,2023/10/13,1h40m16s,Horror Films,Films Based on Books,Swedish,,,,,,,,,,,,,,,,,,,
Blanquita,tt21376206,2022,"When a young woman in a foster home accuses powerful men of sexual abuse, she becomes the focus of the scandal — and skepticism. Inspired by real events.",Not recommended for children under 16,movie,2023/10/13,1h38m2s,Drama Films,Chilean,,,,,,,,,,,,,,,,,,,,
ìj??gb??n,,2023,"Four teenagers from a rural village in South West Nigeria stumble upon a pouch of uncut diamonds — but before long, others come looking for the bounty.",Recommended for ages 16 and up,movie,2023/10/13,1h55m32s,Teen Movies,African Movies,Drama Movies,Nollywood,,,,,,,,,,,,,,,,,,
Kasargold,tt22309174,2023,A car crash leaves two gold smugglers without their valuable cargo. But getting it back means chasing the thief deep into Kerala's chaotic underworld.,Recommended for ages 16 and up,movie,2023/10/13,2h16m39s,Action & Adventure Movies,Crime Movies,Malayalam-Language Movies,Indian,,,,,,,,,,,,,,,,,,
Baby Animal Cam,,2023,"Keep an eye on the daily routines, quirky habits and cozy habitats of several baby animals at Cleveland Metroparks. Live event in English.",Recommended for ages 7 and up,series,2023/10/13,,Special Interest,US TV Shows,Family Watch Together TV,,,,,,,,,,,,,,,,,,,
GOOD NIGHT WORLD,,2023,Four miserable members of a dysfunctional household have no idea that they've formed a happy family unit in an immersive VR game — with each other.,Recommended for ages 16 and up,series,2023/10/12,,Anime Dramas,Anime Series,Sci-Fi & Fantasy Anime,Anime Based on Comics,Japanese,,,,,,,,,,,,,,,,,
The Fall of the House of Usher,tt0018770,2023,"To secure their fortune — and future — two ruthless siblings build a family dynasty that begins to crumble when their heirs mysteriously die, one by one.",High Impact Violence,series,2023/10/12,,Drama Programmes,US TV Programmes,Horror Programmes,TV Programmes Based on Books,,,,,,,,,,,,,,,,,,
Pact of Silence,tt0325948,2023,A big-time social media influencer plunges headfirst into the lives of four women fueled by a thirst for the truth about her birth — and revenge.,"Strong Self-Harm, Sexual Violence, Drug Use",series,2023/10/11,,Mystery Programmes,Drama Programmes,Mexican,,,,,,,,,,,,,,,,,,,
Once Upon a Star,tt4423382,2023,"In 1970, a cinema projection troupe faces roadblocks as they journey across Thailand to entertain eager audiences by live-dubbing beloved films.","Coarse Language, Violence",movie,2023/10/11,2h18m17s,Drama Films,Thai,,,,,,,,,,,,,,,,,,,,
Big Vape: The Rise and Fall of Juul,tt14081634,2023,"In this docuseries, a scrappy electronic cigarette startup becomes a multibillion-dollar company until an epidemic causes its success to go up in smoke.",Coarse Language,series,2023/10/11,,Science & Nature TV,US TV Programmes,TV Programmes Based on Books,Docuseries,Social & Cultural Docs,,,,,,,,,,,,,,,,,
"Krish, Trish & Baltiboy Bharat Hain Hum",tt8672310,2023,The beloved trio of animal storytellers relates the stirring history of India's fight for freedom through true-life tales of courage and sacrifice.,Parents strongly cautioned. May not be suitable for ages under 14.,series,2023/10/11,,Action & Adventure Programmes,Political TV Programmes,Hindi-language TV Programmes,Indian,,,,,,,,,,,,,,,,,,
Oregon,tt22037054,2023,"On vacation in Istanbul in the '80s, an offbeat couple lands in a sticky situation while trying to return a friend's cassette tape.",Recommended for ages 18 and up,movie,2023/10/10,1h33m48s,Drama Movies,Comedy Movies,Turkish,,,,,,,,,,,,,,,,,,,
Blippi's Big Dino Adventure,tt6594882,2023,"When dinosaur eggs at T-Rex Ranch mysteriously go missing, a park ranger asks Blippi and his best friend, Meekah, to track them down before they hatch.",Recommended for all audiences,movie,2023/10/9,1h7m17s,Children & Family Films,US Movies,,,,,,,,,,,,,,,,,,,,
Strong Girl Nam-soon,,2023,"Gifted with superhuman strength, a young woman returns to Korea to find her birth family — only to be entangled in a drug case that could test her power.",Recommended for ages 16 and up,series,2023/10/9,,Comedy Programmes,Drama Programmes,Crime Programmes,Korean,,,,,,,,,,,,,,,,,,
Stranded with my Mother-in-Law,tt27494436,2023,"To win a life-changing prize, couples embark on a journey to an earthly paradise and confront challenges... with the assistance of their mothers-in-law.",Recommended for ages 16 and up,series,2023/10/9,,Reality TV,Competition Reality TV,Brazilian,,,,,,,,,,,,,,,,,,,
A Nation of Banchan,,2023,"The Korean table is a sight to behold. Dive into everything from grains to side dishes, and uncover what it takes to create the diverse and beloved meals.",Recommended for ages 10 and up,series,2023/10/9,,Food & Travel TV,Lifestyle,Korean,Docuseries,Social & Cultural Docs,,,,,,,,,,,,,,,,,
OMG 2,tt15732324,2023,A devout father takes on a dogmatic school — and his own moral beliefs — after the school expels his son over an embarrassing video that goes viral.,Mature themes and sexual references,movie,2023/10/7,2h35m1s,Social Issue Dramas,Bollywood Films,Drama Films,Comedy Films,Courtroom Films,Hindi-language Films,Indian,,,,,,,,,,,,,,,
LEGO Friends: The Next Chapter,tt26485614,2023,School's back! The lovable students of Heartlake High face a year of fun adventures and exciting challenges that bring them closer together.,Recommended for ages 7 and up,series,2023/10/7,,TV Cartoons,Kids' TV,,,,,,,,,,,,,,,,,,,,
Click Click Bang,tt21960200,2022,"A footballer turns to petty crime when his sporting career stalls. Under the wing of a crooked cop, he soon descends deeper into the criminal underworld.",Recommended for ages 16 and up,series,2023/10/6,,Drama Programmes,Crime Programmes,,,,,,,,,,,,,,,,,,,,
Insidious: The Red Door,tt13405778,2023,"Dalton Lambert, now in college, grapples with generational trauma when he and his father uncover repressed memories of the demon haunting their family.",Suitable for persons aged 13 and above and under parental guidance for people under age of 13,movie,2023/10/6,1h47m7s,Horror Films,US Movies,,,,,,,,,,,,,,,,,,,,
Fair Play,tt2199448,2023,"An unexpected promotion at a cutthroat hedge fund pushes a couple's romance to the brink, threatening to unravel far more than their recent engagement.",Strong coarse language and a scene of sexual violence,movie,2023/10/6,1h55m2s,Drama Films,Thrillers,,,,,,,,,,,,,,,,,,,,
Ballerina,tt0898897,2023,"Grieving the loss of a best friend she couldn’t protect, ex-bodyguard Ok-ju sets out to fulfill her dear friend’s last wish: sweet, sweet revenge.","Strong Blood and Gore, Violence, Sexual Violence, Suicide Themes",movie,2023/10/6,1h33m47s,Action & Adventure Films,Crime Films,Korean,,,,,,,,,,,,,,,,,,,
A Deadly Invitation,tt13022120,2023,"A true crime enthusiast is ensnared in her high-society sister's murder. With a villa full of posh suspects, it's up to her to find the culprit.","Coarse Language, Mature Themes, Violence",movie,2023/10/6,1h33m25s,Comedy Films,Films Based on Books,Mystery Films,Mexican,,,,,,,,,,,,,,,,,,
Maybe Baby,tt0206926,2023,"When two pregnant women learn that the fertility clinic mistakenly swapped their eggs, they must navigate the error — and their disdain for each other.",Recommended for ages 13 and up,movie,2023/10/6,1h44m36s,Comedy Movies,Danish,,,,,,,,,,,,,,,,,,,,
Khufiya,tt15433600,2023,"When a mole in an intelligence unit leads to the murder of an undercover spy, a hardened agent relentlessly pursues him to avenge the death.",Strong Violence,movie,2023/10/5,2h38m31s,Spy Films,Bollywood Films,Drama Films,Thrillers,Films Based on Books,Hindi-language Films,Indian,,,,,,,,,,,,,,,
Everything Now,tt4271910,2023,"After months in recovery for an eating disorder, 16-year-old Mia devises a bucket list of quintessential teen experiences to make up for lost time.",Strong Self-Harm,series,2023/10/5,,Comedy Programmes,Drama Programmes,Teen Programmes,British,,,,,,,,,,,,,,,,,,
Miss Shetty Mr Polishetty,tt15891388,2023,An ambitious chef starts working with a stand-up comedian and initially struggles to deal with his carefree attitude — only to unexpectedly find love.,Recommended for ages 10 and up,movie,2023/10/5,2h28m17s,Romantic Comedy Movies,Comedy Movies,Romantic Movies,Telugu-Language Movies,Indian,,,,,,,,,,,,,,,,,
Super Pumped: The Battle for Uber,,2022,The ambitious CEO of a ride-hailing app tries to turn a struggling startup into a tech titan amid massive scandals in this drama based on true events.,For Mature Audiences.,series,2023/10/4,,,,,,,,,,,,,,,,,,,,,,,
Race to the Summit,tt5513092,2023,Fearless alpine climbers Ueli Steck and Dani Arnold enter into a death-defying rivalry to set speed records on the Swiss Alps' great north faces.,"Mild Coarse Language, Nudity, Themes",movie,2023/10/4,1h30m26s,,,,,,,,,,,,,,,,,,,,,,
Keys to the Heart,tt6985200,2023,"Troubled and alone, a boxer moves in with his long-lost mother and autistic pianist brother — but must fit in with a family he hasn't known for years.","Coarse Language, Mature Themes, Violence",movie,2023/10/4,1h42m49s,Music,Drama Films,Filipino,,,,,,,,,,,,,,,,,,,
Beckham,tt14524712,2023,"With never-before-seen footage, this docuseries follows David Beckham's meteoric rise from humble beginnings to global football stardom.",Coarse Language,series,2023/10/4,,Biographical Documentaries,British,Docuseries,,,,,,,,,,,,,,,,,,,
Brother,tt0222851,2022,"Two inseparable sons of a Caribbean single mother come of age in a Toronto housing complex as they grapple with violence, grief, loyalty and love.",For Mature Audiences.,movie,2023/10/3,1h59m46s,LGBTQ Dramas,Social Issue Dramas,Drama Films,LGBTQ Films,Tearjerkers,Films Based on Books,Canadian,,,,,,,,,,,,,,,
Beth Stelling: If You Didn't Want Me Then,,2023,"Comedian Beth Stelling is aging in dog years, camping with a fake husband and monitoring her dad's raccoon army in this slyly laid-back stand-up special.",Strong Crude Humour,movie,2023/10/3,59m22s,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,,
